Date,ppt (inches)
10/1/2018,0
10/2/2018,0
10/3/2018,0
10/4/2018,0
10/5/2018,0.06
10/6/2018,0.35
10/7/2018,0.06
10/8/2018,0.09
10/9/2018,0.02
10/10/2018,0
10/11/2018,0
10/12/2018,0
10/13/2018,0
10/14/2018,0
10/15/2018,0
10/16/2018,0
10/17/2018,0
10/18/2018,0
10/19/2018,0
10/20/2018,0
10/21/2018,0
10/22/2018,0
10/23/2018,0.02
10/24/2018,0.06
10/25/2018,0.02
10/26/2018,0.14
10/27/2018,0.18
10/28/2018,0.64
10/29/2018,0.34
10/30/2018,0.23
10/31/2018,0.16
11/1/2018,0.06
11/2/2018,0.16
11/3/2018,0.04
11/4/2018,0.28
11/5/2018,0.08
11/6/2018,0.13
11/7/2018,0
11/8/2018,0
11/9/2018,0
11/10/2018,0
11/11/2018,0
11/12/2018,0
11/13/2018,0
11/14/2018,0
11/15/2018,0.01
11/16/2018,0
11/17/2018,0
11/18/2018,0
11/19/2018,0
11/20/2018,0
11/21/2018,0.08
11/22/2018,0.45
11/23/2018,1.15
11/24/2018,0.36
11/25/2018,0
11/26/2018,0.05
11/27/2018,1.15
11/28/2018,1.04
11/29/2018,0.43
11/30/2018,0.2
12/1/2018,0.53
12/2/2018,0.12
12/3/2018,0.05
12/4/2018,0
12/5/2018,0
12/6/2018,0
12/7/2018,0
12/8/2018,0.29
12/9/2018,0.15
12/10/2018,0.42
12/11/2018,0.25
12/12/2018,0.88
12/13/2018,0.48
12/14/2018,0.05
12/15/2018,0.23
12/16/2018,0.27
12/17/2018,0.29
12/18/2018,3.48
12/19/2018,0.38
12/20/2018,0.09
12/21/2018,0.22
12/22/2018,0.01
12/23/2018,0.85
12/24/2018,0.5
12/25/2018,0.06
12/26/2018,0.09
12/27/2018,0.25
12/28/2018,0.01
12/29/2018,0.01
12/30/2018,0.68
12/31/2018,0.02
1/1/2019,0
1/2/2019,0
1/3/2019,0
1/4/2019,0.32
1/5/2019,0.02
1/6/2019,0.44
1/7/2019,0.31
1/8/2019,0.34
1/9/2019,0.11
1/10/2019,0.81
1/11/2019,0.01
1/12/2019,0
1/13/2019,0
1/14/2019,0
1/15/2019,0
1/16/2019,0
1/17/2019,0.28
1/18/2019,0.91
1/19/2019,1.16
1/20/2019,0.48
1/21/2019,0.31
1/22/2019,0.02
1/23/2019,0.45
1/24/2019,0.04
1/25/2019,0
1/26/2019,0
1/27/2019,0
1/28/2019,0
1/29/2019,0
1/30/2019,0
1/31/2019,0
2/1/2019,0.02
2/2/2019,0.12
2/3/2019,0.29
2/4/2019,0.3
2/5/2019,0.1
2/6/2019,0.08
2/7/2019,0
2/8/2019,0
2/9/2019,0.58
2/10/2019,0.03
2/11/2019,0.6
2/12/2019,0.88
2/13/2019,1.3
2/14/2019,0.21
2/15/2019,0.38
2/16/2019,0.48
2/17/2019,0.32
2/18/2019,0
2/19/2019,0
2/20/2019,0.52
2/21/2019,0.33
2/22/2019,0
2/23/2019,0.37
2/24/2019,1.38
2/25/2019,0.54
2/26/2019,0.02
2/27/2019,0.25
2/28/2019,0
3/1/2019,0.1
3/2/2019,0
3/3/2019,0
3/4/2019,0
